"Jour","Produit","Prix TVA incl."
"06MAY21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.647
"07MAY21","Essence 95 RON E10 (€/L)",1.534
"07MAY21","Essence 98 RON E5 (€/L)",1.607
"07MAY21","Diesel B7 (€/L)",1.508
"07MAY21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.625
"07MAY21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.654
"08MAY21","Essence 95 RON E10 (€/L)",1.534
"08MAY21","Essence 98 RON E5 (€/L)",1.607
"08MAY21","Diesel B7 (€/L)",1.508
"08MAY21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.616
"08MAY21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.645
"09MAY21","Essence 95 RON E10 (€/L)",1.534
"09MAY21","Essence 98 RON E5 (€/L)",1.607
"09MAY21","Diesel B7 (€/L)",1.508
"09MAY21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.616
"09MAY21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.645
"10MAY21","Essence 95 RON E10 (€/L)",1.534
"10MAY21","Essence 98 RON E5 (€/L)",1.607
"10MAY21","Diesel B7 (€/L)",1.508
"10MAY21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.616
"10MAY21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.645
"11MAY21","Essence 95 RON E10 (€/L)",1.534
"11MAY21","Essence 98 RON E5 (€/L)",1.607
"11MAY21","Diesel B7 (€/L)",1.526
"11MAY21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.615
"11MAY21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.645
"12MAY21","Essence 95 RON E10 (€/L)",1.534
"12MAY21","Essence 98 RON E5 (€/L)",1.607
"12MAY21","Diesel B7 (€/L)",1.526
"12MAY21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.613
"12MAY21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.642
"13MAY21","Essence 95 RON E10 (€/L)",1.534
"13MAY21","Essence 98 RON E5 (€/L)",1.607
"13MAY21","Diesel B7 (€/L)",1.526
"13MAY21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.616
"13MAY21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.646
"14MAY21","Essence 95 RON E10 (€/L)",1.534
"14MAY21","Essence 98 RON E5 (€/L)",1.607
"14MAY21","Diesel B7 (€/L)",1.526
"14MAY21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.616
"14MAY21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.646
"15MAY21","Essence 95 RON E10 (€/L)",1.518
"15MAY21","Essence 98 RON E5 (€/L)",1.58
"15MAY21","Diesel B7 (€/L)",1.526
"15MAY21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.613
"15MAY21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.642
"16MAY21","Essence 95 RON E10 (€/L)",1.518
"16MAY21","Essence 98 RON E5 (€/L)",1.58
"16MAY21","Diesel B7 (€/L)",1.526
"16MAY21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.613
"16MAY21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.642
"17MAY21","Essence 95 RON E10 (€/L)",1.518
"17MAY21","Essence 98 RON E5 (€/L)",1.58
"17MAY21","Diesel B7 (€/L)",1.526
"17MAY21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.613
"17MAY21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.642
"18MAY21","Essence 95 RON E10 (€/L)",1.518
"18MAY21","Essence 98 RON E5 (€/L)",1.58
"18MAY21","Diesel B7 (€/L)",1.526
"18MAY21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.619
"18MAY21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.648
"19MAY21","Essence 95 RON E10 (€/L)",1.518
"19MAY21","Essence 98 RON E5 (€/L)",1.58
"19MAY21","Diesel B7 (€/L)",1.526
"19MAY21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.623
"19MAY21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.652
"20MAY21","Essence 95 RON E10 (€/L)",1.518
"20MAY21","Essence 98 RON E5 (€/L)",1.58
"20MAY21","Diesel B7 (€/L)",1.526
"20MAY21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.622
